ID,Country or Subregion,Serotype,Year,In / Out of Subregions,EW,(C/TC) x100 (e),(SD/D) x100 (e),CFR (f),Confirmed,Deaths,Epidemiological Week (a),Incidence Rate (c),Population X 1000,Severe Dengue (d),Total of Dengue Cases (b)
4,Brazil,"DEN 1,2,4",2022,Out,24,56.913186581,0.068572318,0.048,1053236,893,24,864.80,213993,1269,1850601
4,Brazil,"DEN 1,2,4",2022,Out,26,56.097481616,0.066882136,0.047,1086183,910,26,904.82,213993,1295,1936242
4,Brazil,"DEN 1,2,3,4",2022,Out,31,54.791582703,0.064851031,0.045,1133834,936,31,967.02,213993,1342,2069358
4,Brazil,"DEN 1,2,3,4",2022,Out,36,53.886636909,0.063925331,0.044,1159073,953,36,"1,005.15",213993,1375,2150947
4,Brazil,"DEN 1,2,3,4",2022,Out,38,53.581920146,0.063730005,0.044,1166981,960,38,"1,017.76",213993,1388,2177938
4,Brazil,"DEN 1,2,3,4",2022,Out,43,52.756273430,0.063117365,0.043,1184391,976,43,"1,049.11",213993,1417,2245024
4,Brazil,"DEN 1,2,3,4",2022,Out,45,52.420674799,0.062962096,0.043,1191415,983,45,"1,062.09",213993,1431,2272796
4,Brazil,"DEN 1,2,3,4",2022,Out,50,51.402637317,0.061612801,0.042,1208879,989,50,"1,099.00",213993,1449,2351784
4,Brazil,"DEN 1,2,4",2022,Out,4,44.538960907,0.062068825,0.030,43772,29,4,45.93,213993,61,98278
4,Brazil,"DEN 1,2,4",2022,Out,6,47.931054127,0.078491445,0.038,75721,60,6,73.82,213993,124,157979
4,Brazil,"DEN 1,2,4",2022,Out,11,55.882940757,0.080656674,0.051,234876,213,11,196.41,213993,339,420300
4,Brazil,"DEN 1,2,4",2022,Out,13,58.551486033,0.076897743,0.053,371573,339,13,296.56,213993,488,634609
4,Brazil,"DEN 1,2,4",2022,Out,18,60.006181956,0.073541380,0.054,803712,718,18,625.90,213993,985,1339382
4,Brazil,"DEN 1,2,4",2022,Out,25,56.471595318,0.067574976,0.048,1071352,905,25,886.55,213993,1282,1897152
4,Brazil,"DEN 1,2,3,4",2022,Out,30,55.010585055,0.065161345,0.046,1126191,934,30,956.68,213993,1334,2047226
4,Brazil,"DEN 1,2,3,4",2022,Out,32,54.597493917,0.064790193,0.045,1140148,940,32,975.86,213993,1353,2088279
4,Brazil,"DEN 1,2,3,4",2022,Out,37,53.731188150,0.063841798,0.044,1163133,956,37,"1,011.59",213993,1382,2164726
4,Brazil,"DEN 1,2,3,4",2022,Out,44,52.598368911,0.063112356,0.043,1187607,980,44,"1,055.12",213993,1425,2257878
4,Brazil,"DEN 1,2,3,4",2022,Out,49,51.601963657,0.061904405,0.042,1206183,988,49,"1,092.31",213993,1447,2337475
4,Brazil,"DEN 1,2,3,4",2022,Out,51,51.272238329,0.061425998,0.042,1210314,991,51,"1,103.10",213993,1450,2360564
